== J1: order 175560 built in 5.1s
  [J1] |G|=175560 degree=266 odd classes=10 involution classes=1 subgroup candidates=52 (largest 660)  setup 423.5s
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=6: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=6: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=19: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=3: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=7: True quotient by C(inv) of order 120 (1463 vertices) [9.2s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=6: True quotient by C(inv) of order 120 (1463 vertices) [9.4s]
    pair ord(x)=11 ord(ax)=10: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=7: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=15: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
    pair ord(x)=11 ord(ax)=7: True quotient by C(inv) of order 120 (1463 vertices) [9.3s]
